,level_0,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
125,68281,71.0,69.0,29,41,29,48,0.0
126,110095,76.0,95.0,52,55,75,20,-1.0
127,51545,54.0,47.0,52,47,36,48,-1.0
128,48566,54.0,60.0,43,51,44,53,0.0
129,64186,88.0,93.0,71,43,75,39,0.0
130,96046,60.0,59.0,53,53,47,42,1.0
131,3877,67.0,47.0,46,40,57,42,-1.0
132,61515,81.0,78.0,53,38,43,48,1.0
133,5700,43.0,56.0,45,68,47,53,0.0
134,40440,78.0,58.0,38,30,36,48,1.0
135,92194,61.0,53.0,57,38,73,51,-1.0
136,111189,72.0,87.0,36,54,57,33,1.0
137,80585,77.0,78.0,58,59,51,67,1.0
138,77750,80.0,78.0,34,63,28,51,1.0
139,75783,59.0,69.0,36,41,36,52,1.0
140,51590,56.0,45.0,52,49,34,54,1.0
141,84825,59.0,76.0,35,56,36,61,1.0
142,22329,54.0,59.0,55,67,65,44,1.0
143,22098,68.0,57.0,73,46,47,50,1.0
144,65830,56.0,94.0,28,58,68,28,1.0
145,29746,71.0,68.0,48,58,46,43,1.0
146,1613,54.0,60.0,44,52,45,45,0.0
147,100995,66.0,56.0,55,50,44,50,-1.0
148,26152,68.0,76.0,51,34,64,39,0.0
149,70729,65.0,69.0,47,39,29,58,-1.0
150,120598,51.0,54.0,60,54,35,45,0.0
151,112760,50.0,64.0,44,40,30,55,1.0
152,71872,77.0,61.0,38,22,21,61,1.0
153,30432,61.0,64.0,44,76,52,76,1.0
154,53013,58.0,56.0,39,35,34,42,1.0
155,67342,69.0,67.0,34,46,24,50,0.0
156,45066,78.0,81.0,68,33,38,57,-1.0
157,111079,95.0,87.0,70,30,57,33,1.0
158,75733,89.0,59.0,71,26,53,51,1.0
159,46305,55.0,50.0,44,39,52,72,0.0
160,60180,82.0,89.0,51,62,68,38,0.0
161,119244,59.0,59.0,65,43,56,52,1.0
162,35295,77.0,82.0,54,39,57,44,1.0
163,86405,74.0,68.0,37,70,45,53,1.0
164,71827,87.0,72.0,51,31,38,34,1.0
165,79816,85.0,82.0,55,43,48,31,0.0
166,95604,48.0,61.0,37,60,53,53,-1.0
167,749,54.0,65.0,46,54,60,47,0.0
168,50291,55.0,50.0,35,40,32,46,-1.0
169,102716,79.0,83.0,27,31,56,36,-1.0
170,112323,54.0,66.0,49,54,33,35,1.0
171,107543,85.0,74.0,48,47,56,58,1.0
172,116154,56.0,46.0,68,44,36,77,1.0
173,97060,58.0,55.0,67,58,49,64,0.0
174,67175,78.0,89.0,62,47,55,39,0.0
175,106056,67.0,79.0,33,59,47,51,-1.0
176,16941,60.0,79.0,39,57,42,53,1.0
177,67985,70.0,67.0,27,40,32,41,0.0
178,101896,62.0,66.0,43,60,48,43,0.0
179,73579,70.0,62.0,27,38,36,38,-1.0
180,26934,85.0,70.0,85,46,37,55,0.0
181,55849,74.0,69.0,37,59,63,67,1.0
182,7357,54.0,43.0,42,54,36,39,-1.0
183,63059,71.0,76.0,34,48,42,67,-1.0
184,114034,40.0,54.0,46,59,29,52,-1.0
185,47807,54.0,47.0,30,33,38,42,1.0
186,74711,67.0,74.0,33,57,22,58,1.0
187,72667,69.0,87.0,37,42,54,32,-1.0
188,26194,70.0,79.0,41,38,82,32,-1.0
189,66155,71.0,75.0,34,81,45,68,1.0
190,54186,58.0,64.0,36,50,60,23,1.0
191,63561,80.0,85.0,48,51,50,40,-1.0
192,106608,72.0,75.0,27,47,52,50,-1.0
193,46766,51.0,60.0,33,39,52,31,-1.0
194,54320,54.0,43.0,38,22,31,34,1.0
195,45362,77.0,72.0,14,29,13,28,-1.0
196,208,56.0,60.0,52,63,53,43,1.0
197,70580,73.0,71.0,40,35,34,54,1.0
198,70794,68.0,67.0,29,58,34,41,1.0
199,81723,76.0,79.0,48,63,48,64,-1.0
200,103081,73.0,86.0,20,47,57,24,1.0
201,80276,64.0,78.0,47,59,52,50,1.0
202,43403,85.0,84.0,76,42,47,44,1.0
203,60051,85.0,80.0,74,52,48,57,1.0
204,78625,87.0,70.0,75,32,47,54,1.0
205,3667,64.0,40.0,53,46,40,52,1.0
